datetime,open,high,low,close,volume
2025-04-29 14:37:00,211.29,211.49,211.29,211.34,60772.0
2025-04-29 14:38:00,211.35,211.42,211.31,211.335,34971.0
2025-04-29 14:39:00,211.33,211.435,211.295,211.32,50725.0
2025-04-29 14:40:00,211.345,211.4498,211.305,211.37,46796.0
2025-04-29 14:41:00,211.3808,211.44,211.3101,211.32,61235.0
2025-04-29 14:42:00,211.33,211.3699,211.13,211.335,75184.0
2025-04-29 14:43:00,211.335,211.36,211.23,211.245,67101.0
2025-04-29 14:44:00,211.2466,211.39,211.23,211.23,38720.0
2025-04-29 14:45:00,211.245,211.47,211.205,211.45,52064.0
2025-04-29 14:46:00,211.47,211.6997,211.45,211.63,63600.0
2025-04-29 14:47:00,211.64,211.65,211.44,211.62,39973.0
2025-04-29 14:48:00,211.57,211.63,211.51,211.52,100154.0
2025-04-29 14:49:00,211.54,211.5699,211.47,211.5303,34445.0
2025-04-29 14:50:00,211.5444,211.5504,211.35,211.49,94077.0
2025-04-29 14:51:00,211.455,211.55,211.33,211.42,64090.0
2025-04-29 14:52:00,211.41,211.68,211.39,211.55,64885.0
2025-04-29 14:53:00,211.54,211.73,211.5,211.646,53196.0
2025-04-29 14:54:00,211.66,211.88,211.66,211.83,66937.0
2025-04-29 14:55:00,211.84,212.07,211.81,212.055,118961.0
2025-04-29 14:56:00,212.04,212.04,211.84,211.88,65632.0
2025-04-29 14:57:00,211.875,211.88,211.67,211.7,47741.0
2025-04-29 14:58:00,211.7,211.76,211.58,211.635,30512.0
2025-04-29 14:59:00,211.61,211.68,211.572141,211.6111,35681.0
2025-04-29 15:00:00,211.62,211.79,211.61,211.615,45876.0
2025-04-29 15:01:00,211.63,211.69,211.515,211.555,61761.0
2025-04-29 15:02:00,211.576,211.76,211.5648,211.663,42565.0
2025-04-29 15:03:00,211.68,211.8,211.48,211.53,61410.0
2025-04-29 15:04:00,211.52,211.52,211.27,211.4608,54653.0
2025-04-29 15:05:00,211.47,211.52,211.34,211.34,38108.0
2025-04-29 15:06:00,211.39,211.57,211.39,211.51,41541.0
2025-04-29 15:07:00,211.53,211.54,211.38,211.47,36279.0
2025-04-29 15:08:00,211.48,211.5499,211.425,211.47,31986.0
2025-04-29 15:09:00,211.48,211.495,211.16,211.35,71361.0
